AAL,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AAPL,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AAP,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ABBV,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ABC,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ABT,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ACN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADBE,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADI,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADM,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADP,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADSK,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ADS,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AEE,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AEP,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AES,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AET,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AFL,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AGN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AIG,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AIV,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AIZ,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AJG,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AKAM,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALB,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALGN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALK,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALLE,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALL,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ALXN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMAT,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMD,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AME,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMGN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMG,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMP,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMT,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AMZN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ANDV,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ANSS,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ANTM,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AON,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AOS,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
APA,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
APC,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
APD,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
APH,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
APTV,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ARE,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ARNC,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
ATVI,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AVB,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AVGO,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AVY,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AWK,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AXP,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AYI,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
AZO,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
A,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BAC,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BAX,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BA,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BBT,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BBY,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BDX,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BEN,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BF.B,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
BHF,2024-08-13 13:07:57.263477,2024-08-13 13:07:57.263477
